Winner,Grass
Giron M.,4
Michelsen A.,3
Opelka R.,3
Eubanks C.,2
Mcdonald M.,2
Vukic A.,2
Bolt A.,2
Kovacevic A.,2
Rinderknech A.,1
Spizzirri E.,1
Paire B.,1
Harris B.,1
Cressy M.,1
Nakashima B.,1
Quinn E.,1
O Connell C.,0
Mayot H.,0
Purcell M.,0
Pouille L.,0
Popyrin A.,0
Paul T.,0
Medvedev D.,0
Mensik J.,0
Mmoh M.,0
Ofner S.,0
Monfils G.,0
Mpetshi G.,0
Muller A.,0
Nishioka Y.,0
Nishikori K.,0
Moreno De Alboran N.,0
Navone M.,0
Moutet C.,0
Nardi L.,0
Ramos-Vinolas A.,0
Musetti L.,0
Murray A.,0
Munar J.,0
Norrie C.,0
Albot R.,0
Raonic M.,0
Svajda Z.,0
Zhang Zh.,0
Wolf J.J.,0
Walton A.,0
Virtanen O.,0
Vavassori A.,0
Varillas J.P.,0
Van De Zandschulp B.,0
Van Assche L.,0
Tsitsipas S.,0
Tirante T.A.,0
Tien L.,0
Tiafoe F.,0
Thompson J.,0
Tabilo A.,0
Struff J.L.,0
Marozsan F.,0
Stricker D.,0
Sonego L.,0
Sinner J.,0
Shevchenko A.,0
Shelton B.,0
Shapovalov D.,0
Shang J.,0
Seyboth Wild T.,0
Schoolkate T.,0
Safiullin R.,0
Ruusuvuori E.,0
Ruud C.,0
Rune H.,0
Rublev A.,0
Martinez P.,0
Lehecka J.,0
Mannarino A.,0
Cerundolo J.M.,0
Djokovic N.,0
Djere L.,0
Dimitrov G.,0
Diaz Acosta F.,0
Diallo G.,0
De Minaur A.,0
Davidovich Fokina A.,0
Darderi L.,0
Daniel T.,0
Damm M.,0
Coric B.,0
Coria F.,0
Comesana F.,0
Cobolli F.,0
Cerundolo F.,0
Duckworth J.,0
Cazaux A.,0
Carreno Busta P.,0
Carballes Baena R.,0
Bublik A.,0
Borges N.,0
Berrettini M.,0
Bergs Z.,0
Bellucci M.,0
Bautista Agut R.,0
Barrios M.,0
Baez S.,0
Auger-Aliassime F.,0
Arnaldi M.,0
Altmaier D.,0
Draper J.,0
Etcheverry T.,0
Machac T.,0
Kecmanovic M.,0
Lestienne C.,0
Alcaraz C.,0
Landaluce M.,0
Lajovic D.,0
Kypson P.,0
Kwon S.W.,0
Kudla D.,0
Krueger M.,0
Kotov P.,0
Korda S.,0
Kokkinakis T.,0
Koepfer D.,0
Klein L.,0
Khachanov K.,0
Karatsev A.,0
Evans D.,0
Jarry N.,0
Hurkacz H.,0
Humbert U.,0
Hong S.,0
Hijikata R.,0
Hanfmann Y.,0
Griekspoor T.,0
Goffin D.,0
Garin C.,0
Galan D.E.,0
Fucsovics M.,0
Fritz T.,0
Fognini F.,0
Fils A.,0
Zverev A.,0
