Winner,Grass
Sinner J.,9
Musetti L.,8
Fritz T.,8
De Minaur A.,8
Alcaraz C.,7
Berrettini M.,6
Medvedev D.,6
Fils A.,6
Draper J.,6
Djokovic N.,6
Struff J.L.,6
Zverev A.,6
Vukic A.,6
Giron M.,5
Paul T.,5
Humbert U.,5
Hurkacz H.,5
Nakashima B.,5
Purcell M.,4
Korda S.,4
Kecmanovic M.,4
Bautista Agut R.,4
Zhang Zh.,4
Bublik A.,4
Griekspoor T.,4
Nishioka Y.,3
Shapovalov D.,3
Mpetshi G.,3
Shelton B.,3
Ruusuvuori E.,3
Shang J.,3
Rune H.,3
Duckworth J.,3
Popyrin A.,3
Sonego L.,3
Harris B.,3
Tiafoe F.,3
Cobolli F.,3
Dimitrov G.,3
Tabilo A.,2
Comesana F.,2
Rinderknech A.,2
Raonic M.,2
Tsitsipas S.,2
Pouille L.,2
Safiullin R.,2
Halys Q.,2
Seyboth Wild T.,2
Koepfer D.,2
Fognini F.,2
Norrie C.,2
Brouwer G.,2
Eubanks C.,2
Monfils G.,2
Nardi L.,1
Kokkinakis T.,1
Cazaux A.,1
Munar J.,1
Muller A.,1
Van De Zandschulp B.,1
Altmaier D.,1
Medjedovic H.,1
Machac T.,1
Mannarino A.,1
Marozsan F.,1
Khachanov K.,1
Mcdonald M.,1
Walton A.,1
Bergs Z.,1
Thompson J.,1
Coric B.,1
Wawrinka S.,1
Darderi L.,1
Hussey G.,1
Ruud C.,1
Etcheverry T.,1
Harris L.,1
Virtanen O.,1
Fearnley J.,1
Hanfmann Y.,1
Zeppieri G.,0
Nishikori K.,0
Neumayer L.,0
Navone M.,0
Tseng C. H.,0
Yevseyev D.,0
Skatov T.,0
Nagal S.,0
Varillas J.P.,0
Stricker D.,0
Napolitano S.,0
Ofner S.,0
Shevchenko A.,0
O Connell C.,0
Rodionov J.,0
Paire B.,0
Nadal R.,0
Passaro F.,0
Van Assche L.,0
Ugo Carabelli C.,0
Tirante T.A.,0
Riedi L.,0
Trungelliti M.,0
Rublev A.,0
Squire H.,0
Rocha H.,0
Ajdukovic D.,0
Moutet C.,0
Gaston H.,0
Garin C.,0
Galan D.E.,0
Fucsovics M.,0
Fonseca J.,0
Dodig M.,0
Djere L.,0
Diaz Acosta F.,0
De Jong J.,0
Davidovich Fokina A.,0
Daniel T.,0
Coria F.,0
Cilic M.,0
Cerundolo F.,0
Carballes Baena R.,0
Cachin P.,0
Bu Y.,0
Borges N.,0
Bonzi B.,0
Blanchet U.,0
Barrere G.,0
Bagnis F.,0
Baez S.,0
Auger-Aliassime F.,0
Atmane T.,0
Arnaldi M.,0
Gasquet R.,0
Gigante M.,0
Moro Canas A.,0
Goffin D.,0
Moreno De Alboran N.,0
Monteiro T.,0
Molleker R.,0
Mmoh M.,0
Misolic F.,0
Michelsen A.,0
Mensik J.,0
Mayot H.,0
Martinez P.,0
Marterer M.,0
Albot R.,0
Lestienne C.,0
Lehecka J.,0
Lajovic D.,0
Kwon S.W.,0
Kovalik J.,0
Kovacevic A.,0
Kotov P.,0
Klein L.,0
Karatsev A.,0
Jarry N.,0
Huesler M.A.,0
Herbert P.H.,0
Heide G.,0
Hardt N.,0
Llamas Ruiz P.,0
