Winner,Clay
Baez S.,23
Ruud C.,22
Darderi L.,21
Zverev A.,20
Tsitsipas S.,19
Cerundolo F.,18
Etcheverry T.,17
Diaz Acosta F.,15
Berrettini M.,15
Carballes Baena R.,14
Struff J.L.,14
Navone M.,14
Auger-Aliassime F.,14
Martinez P.,14
Hurkacz H.,14
Fritz T.,13
Lajovic D.,13
Alcaraz C.,12
Rublev A.,11
Kotov P.,11
Borges N.,11
Rune H.,11
Tabilo A.,11
Sinner J.,11
Cobolli F.,10
Seyboth Wild T.,10
Hanfmann Y.,10
Munar J.,10
Fils A.,10
De Minaur A.,10
Monteiro T.,10
Djokovic N.,10
Medvedev D.,9
Moutet C.,9
Nadal R.,9
Jarry N.,9
Zhang Zh.,9
Dimitrov G.,8
Norrie C.,8
Khachanov K.,8
Arnaldi M.,8
Coria F.,8
Machac T.,8
Shelton B.,8
Fucsovics M.,7
Gaston H.,7
Griekspoor T.,7
Garin C.,7
Paul T.,7
Fognini F.,7
Musetti L.,7
Muller A.,7
Tirante T.A.,6
Kecmanovic M.,6
Sonego L.,6
Shevchenko A.,6
Mpetshi G.,5
Marozsan F.,5
Mensik J.,5
Moreno De Alboran N.,5
Korda S.,5
Galan D.E.,5
Bagnis F.,5
Fonseca J.,5
Shapovalov D.,5
Bublik A.,5
Van De Zandschulp B.,5
Tiafoe F.,5
Nakashima B.,5
Ofner S.,5
Bautista Agut R.,5
Trungelliti M.,4
Koepfer D.,4
Vukic A.,4
Humbert U.,4
Lehecka J.,4
Draper J.,4
Altmaier D.,4
Medjedovic H.,4
Nagal S.,4
Djere L.,4
Halys Q.,4
Rinderknech A.,4
Monfils G.,3
Thompson J.,3
Michelsen A.,3
Wawrinka S.,3
Ramos-Vinolas A.,3
Ajdukovic D.,3
Giron M.,3
Bergs Z.,3
Barrere G.,3
Davidovich Fokina A.,3
Goffin D.,2
Skatov T.,2
Atmane T.,2
Heide G.,2
Daniel T.,2
Mmoh M.,2
Passaro F.,2
Llamas Ruiz P.,2
Gasquet R.,2
Barrios M.,2
Purcell M.,2
Popyrin A.,2
Nishioka Y.,2
Napolitano S.,2
Marterer M.,2
Coric B.,2
Ugo Carabelli C.,2
Cachin P.,2
Kovalik J.,2
Varillas J.P.,2
Van Assche L.,2
Kokkinakis T.,2
Vavassori A.,2
Klein L.,2
Huesler M.A.,2
Dodig M.,1
Duckworth J.,1
Dellien H.,1
Zapata Miralles B.,1
Yevseyev D.,1
Zeppieri G.,1
Wolf J.J.,1
Riedi L.,1
Nishikori K.,1
Thiem D.,1
Rodionov J.,1
Rocha H.,1
Cerundolo J.M.,1
De Jong J.,1
Burruchaga R.,1
Ruusuvuori E.,1
Safiullin R.,1
Shang J.,1
Tseng C. H.,1
Blanchet U.,1
Squire H.,1
Choinski J.,1
Neumayer L.,1
Karatsev A.,1
Mayot H.,1
Kovacevic A.,1
Misolic F.,1
Molleker R.,1
Meligeni Alves F.,1
Moro Canas A.,1
Gigante M.,1
Kwon S.W.,1
Albot R.,1
Hardt N.,1
Jorda Sanchis D.,1
Nardi L.,1
Hijikata R.,1
Bolt A.,0
Kudla D.,0
Carreno Busta P.,0
Kypson P.,0
Uchiyama Y.,0
Tien L.,0
Kukushkin M.,0
Cazaux A.,0
Landaluce M.,0
Nava E.,0
Kubler J.,0
Hong S.,0
Krueger M.,0
Virtanen O.,0
Bu Y.,0
Walton A.,0
Watanuki Y.,0
Brouwer G.,0
Wong C.,0
Wu Y.,0
Hussey G.,0
Jubb P.,0
Broady L.,0
Zhou Y.,0
Zhukayev B.,0
Lestienne C.,0
Spizzirri E.,0
Svajda Z.,0
Diallo G.,0
Engel J.,0
Eubanks C.,0
O Connell C.,0
Evans D.,0
Opelka R.,0
Paire B.,0
Kachmazov A.,0
Bellucci M.,0
Fearnley J.,0
Pouille L.,0
Murray A.,0
Quinn E.,0
Raonic M.,0
Mannarino A.,0
Gomez F.,0
Grenier H.,0
Harris B.,0
Schoolkate T.,0
Harris L.,0
Mcdonald M.,0
Damm M.,0
Cressy M.,0
Comesana F.,0
Herbert P.H.,0
Cilic M.,0
Stricker D.,0
Bonzi B.,0
