Winner,Clay
Zverev A.,19
Ruud C.,16
Cerundolo F.,14
Tsitsipas S.,13
Fritz T.,13
Auger-Aliassime F.,13
Struff J.L.,12
Rublev A.,11
Etcheverry T.,11
Berrettini M.,10
Darderi L.,10
Baez S.,10
Alcaraz C.,10
Lajovic D.,9
Nadal R.,9
Borges N.,9
Rune H.,9
Carballes Baena R.,9
Cobolli F.,9
Zhang Zh.,8
Kotov P.,8
Arnaldi M.,8
Medvedev D.,8
Hurkacz H.,8
Monteiro T.,8
Sinner J.,8
Machac T.,8
Muller A.,7
Hanfmann Y.,7
Navone M.,7
Martinez P.,7
Fils A.,7
Gaston H.,7
Djokovic N.,7
Paul T.,7
Seyboth Wild T.,7
De Minaur A.,7
Dimitrov G.,6
Griekspoor T.,6
Shevchenko A.,6
Moutet C.,6
Tabilo A.,6
Diaz Acosta F.,6
Kecmanovic M.,5
Mpetshi G.,5
Mensik J.,5
Marozsan F.,5
Bublik A.,5
Norrie C.,5
Khachanov K.,5
Fucsovics M.,5
Shapovalov D.,5
Jarry N.,5
Musetti L.,5
Fognini F.,5
Van De Zandschulp B.,4
Trungelliti M.,4
Altmaier D.,4
Tirante T.A.,4
Medjedovic H.,4
Lehecka J.,4
Koepfer D.,4
Sonego L.,4
Halys Q.,4
Ofner S.,4
Shelton B.,4
Munar J.,4
Rinderknech A.,4
Draper J.,4
Korda S.,4
Michelsen A.,3
Nakashima B.,3
Moreno De Alboran N.,3
Ajdukovic D.,3
Galan D.E.,3
Davidovich Fokina A.,3
Fonseca J.,3
Barrere G.,3
Bautista Agut R.,3
Garin C.,3
Nagal S.,2
Napolitano S.,2
Nishioka Y.,2
Djere L.,2
Klein L.,2
Kokkinakis T.,2
Daniel T.,2
Skatov T.,2
Tiafoe F.,2
Bergs Z.,2
Van Assche L.,2
Vukic A.,2
Atmane T.,2
Cachin P.,2
Passaro F.,2
Huesler M.A.,2
Kovalik J.,2
Marterer M.,2
Heide G.,2
Rodionov J.,1
Kwon S.W.,1
Ugo Carabelli C.,1
Purcell M.,1
Karatsev A.,1
Riedi L.,1
Rocha H.,1
Molleker R.,1
Varillas J.P.,1
Coric B.,1
Coria F.,1
Ruusuvuori E.,1
Tseng C. H.,1
Shang J.,1
Albot R.,1
Thompson J.,1
Blanchet U.,1
Humbert U.,1
De Jong J.,1
Bagnis F.,1
Hardt N.,1
Zeppieri G.,1
Monfils G.,1
Goffin D.,1
Giron M.,1
Moro Canas A.,1
Gigante M.,1
Gasquet R.,1
Misolic F.,1
Mayot H.,1
Squire H.,1
Yevseyev D.,1
Wawrinka S.,1
Nardi L.,1
Neumayer L.,1
Nishikori K.,1
Dodig M.,1
Kovacevic A.,0
Hussey G.,0
Walton A.,0
Lestienne C.,0
Virtanen O.,0
Bonzi B.,0
Stricker D.,0
Mmoh M.,0
Brouwer G.,0
Bu Y.,0
Harris B.,0
Fearnley J.,0
Harris L.,0
Eubanks C.,0
Duckworth J.,0
Mcdonald M.,0
O Connell C.,0
Paire B.,0
Herbert P.H.,0
Popyrin A.,0
Pouille L.,0
Raonic M.,0
Safiullin R.,0
Comesana F.,0
Cilic M.,0
Cazaux A.,0
Mannarino A.,0
Llamas Ruiz P.,0
