Winner,Grass
Kyrgios N.,13
Bublik A.,9
Cressy M.,9
Berrettini M.,9
Bonzi B.,8
Otte O.,8
Van Rijthoven T.,8
Tsitsipas S.,8
Medvedev D.,8
Fritz T.,8
De Minaur A.,7
Djokovic N.,7
Murray A.,7
Paul T.,7
Bautista Agut R.,7
Nakashima B.,6
Norrie C.,6
Kubler J.,6
Van De Zandschulp B.,6
Krajinovic F.,5
Hurkacz H.,5
Peniston R.,5
Griekspoor T.,5
Sonego L.,5
Nadal R.,5
Draper J.,5
Goffin D.,4
Ivashka I.,4
Johnson S.,4
Isner J.,4
Mannarino A.,4
Garin C.,4
Khachanov K.,4
Sinner J.,4
Ruusuvuori E.,4
Auger-Aliassime F.,4
Basilashvili N.,4
Cilic M.,3
Mcdonald M.,3
Alcaraz C.,3
Humbert U.,3
Giron M.,3
Gaston H.,3
Bellier A.,3
Brooksby J.,3
Tiafoe F.,3
Sock J.,3
Molcan A.,3
Vesely J.,3
Davidovich Fokina A.,3
Carreno Busta P.,2
Baez S.,2
Duckworth J.,2
Halys Q.,2
Gasquet R.,2
Galan D.E.,2
Fucsovics M.,2
Altmaier D.,2
Broady L.,2
Querrey S.,2
Kecmanovic M.,2
Rinderknech A.,1
Simon G.,1
Korda S.,1
Lajovic D.,1
Shapovalov D.,1
Albot R.,1
Purcell M.,1
Kudla D.,1
Kokkinakis T.,1
Schwartzman D.,1
Ruud C.,1
Karatsev A.,1
Krueger M.,1
Stricker D.,1
Harrison C.,1
Djere L.,1
Ymer M.,1
Novak D.,1
Munar J.,1
Berankis R.,1
Wawrinka S.,1
Monteiro T.,1
Opelka R.,1
Cerundolo F.,1
Millman J.,1
Majchrzak K.,1
Dimitrov G.,1
Martinez P.,1
Eubanks C.,1
Evans D.,1
Marterer M.,1
Grenier H.,1
Gray A.,1
Struff J.L.,1
Gojowczyk P.,1
Tabilo A.,1
Thompson J.,1
Ramos-Vinolas A.,0
Pucinelli de Almeida M.,0
Ofner S.,0
O Connell C.,0
Popyrin A.,0
Paire B.,0
Passaro F.,0
Pospisil V.,0
Pouille L.,0
Agamenone F.,0
Ritschard A.,0
Tsonga J.W.,0
Zhang Zh.,0
Zeppieri G.,0
Zapata Miralles B.,0
Ymer E.,0
Wu Y.,0
Wolf J.J.,0
Watanuki Y.,0
Vukic A.,0
Verdasco F.,0
Varillas J.P.,0
Varillas J. P.,0
Ugo Carabelli C.,0
Uchida K.,0
Tseng C.H.,0
Rodionov J.,0
Tseng C. H.,0
Travaglia S.,0
Thiem D.,0
Taberner C.,0
Nishioka Y.,0
Stebe C.M.,0
Sousa J.,0
Shelton B.,0
Seyboth Wild T.,0
Seppi A.,0
Safiullin R.,0
Rune H.,0
Rublev A.,0
Noguchi R.,0
Kukushkin M.,0
Nikles J.,0
Etcheverry T.,0
Cuevas P.,0
Daniel T.,0
Delbonis F.,0
Dellien H.,0
Dzumhur D.,0
Edmund K.,0
Ficovich J.P.,0
Herbert P.H.,0
Fognini F.,0
Gerasimov E.,0
Gojo B.,0
Gombos N.,0
Guinard M.,0
Hanfmann Y.,0
Coric B.,0
Coria F.,0
Cerundolo J.M.,0
Celikbilek A.,0
Cecchinato M.,0
Carballes Baena R.,0
Cachin P.,0
Brouwer G.,0
Borges N.,0
Bhambri Y.,0
Bedene A.,0
Basic M.,0
Barrere G.,0
Bagnis F.,0
Andujar P.,0
Anderson K.,0
Alvarez Varona N.,0
Harris L.,0
Hernandez A.,0
Nava E.,0
Milojevic N.,0
Leshem E.,0
Lestienne C.,0
Londero J.I.,0
Machac T.,0
Mager G.,0
Martin A.,0
Misolic F.,0
Hijikata R.,0
Mmoh M.,0
Monfils G.,0
Moriya H.,0
Moutet C.,0
Musetti L.,0
Nardi L.,0
Lehecka J.,0
Lazarov A.,0
Laaksonen H.,0
Kwon S.W.,0
Kozlov S.,0
Kovalik J.,0
Kovacevic A.,0
Kotov P.,0
Kopriva V.,0
Kolar Z.,0
Kohlschreiber P.,0
Koepfer D.,0
Jaziri M.,0
Jarry N.,0
Istomin D.,0
Huesler M.A.,0
Holt B.,0
Zverev A.,0
