Winner,Clay
Baez S.,9
Djere L.,8
Cerundolo F.,8
Ugo Carabelli C.,6
Fonseca J.,5
Comesana F.,4
Muller A.,4
Faria J.,4
Navone M.,4
Etcheverry T.,3
Dzumhur D.,3
Coria F.,3
Zverev A.,3
Martinez P.,3
Tseng C.H.,2
Seyboth Wild T.,2
Monteiro T.,2
Heide G.,1
Shevchenko A.,1
Lajovic D.,1
Darderi L.,1
Schwartzman D.,1
Cerundolo J.M.,1
Garin C.,1
Jarry N.,1
Musetti L.,1
Munar J.,1
Moutet C.,1
Hanfmann Y.,1
Medvedev D.,0
O Connell C.,0
Pacheco Mendez R.,0
Opelka R.,0
Michelsen A.,0
Passaro F.,0
Mensik J.,0
Mpetshi G.,0
Norrie C.,0
Mmoh M.,0
Nishioka Y.,0
Nishikori K.,0
Monfils G.,0
Popyrin A.,0
Nardi L.,0
Nakashima B.,0
Paul T.,0
Safiullin R.,0
Quinn E.,0
Thompson J.,0
Zhang Zh.,0
Watanuki Y.,0
Walton A.,0
Vukic A.,0
Virtanen O.,0
Vavassori A.,0
Van De Zandschulp B.,0
Van Assche L.,0
Tu L.,0
Tsitsipas S.,0
Tien L.,0
Tiafoe F.,0
Tabilo A.,0
Rinderknech A.,0
Struff J.L.,0
Sonego L.,0
Smith C.,0
Sinner J.,0
Shelton B.,0
Shapovalov D.,0
Shang J.,0
Schoolkate T.,0
Mccabe J.,0
Ruud C.,0
Rune H.,0
Rublev A.,0
Medjedovic H.,0
Alcaraz C.,0
McDonald M.,0
Bublik A.,0
Draper J.,0
Djokovic N.,0
Dimitrov G.,0
Diaz Acosta F.,0
Diallo G.,0
De Minaur A.,0
De Jong J.,0
Davidovich Fokina A.,0
Cilic M.,0
Cazaux A.,0
Carreno Busta P.,0
Carballes Baena R.,0
Bu Y.,0
Marozsan F.,0
Brooksby J.,0
Boyer T.,0
Borges N.,0
Bonzi B.,0
Berrettini M.,0
Bergs Z.,0
Bellucci M.,0
Bautista Agut R.,0
Basilashvili N.,0
Basavareddy N.,0
Auger-Aliassime F.,0
Arnaldi M.,0
Duckworth J.,0
Eubanks C.,0
Fearnley J.,0
Fils A.,0
Machac T.,0
Lestienne C.,0
Lehecka J.,0
Krueger M.,0
Altmaier D.,0
Korda S.,0
Kokkinakis T.,0
Koepfer D.,0
Khachanov K.,0
Kecmanovic M.,0
Hurkacz H.,0
Humbert U.,0
Hijikata R.,0
Herbert P.,0
Halys Q.,0
Habib H.,0
Guinard M.,0
Griekspoor T.,0
Grenier H.,0
Goffin D.,0
Giron M.,0
Gigante M.,0
Gaston H.,0
Gasquet R.,0
Fritz T.,0
Kovacevic A.,0
