Winner,Grass
Musetti L.,12
Paul T.,10
Fritz T.,10
Sinner J.,9
Giron M.,9
Vukic A.,8
Alcaraz C.,8
Draper J.,8
De Minaur A.,8
Korda S.,7
Nakashima B.,7
Tabilo A.,7
Medvedev D.,6
Harris B.,6
Fils A.,6
Struff J.L.,6
Djokovic N.,6
Zverev A.,6
Berrettini M.,6
Bautista Agut R.,6
Hurkacz H.,5
Humbert U.,5
Monfils G.,5
Michelsen A.,5
Shelton B.,4
Thompson J.,4
Eubanks C.,4
Purcell M.,4
Kecmanovic M.,4
Ofner S.,4
Dimitrov G.,4
Griekspoor T.,4
Mpetshi G.,4
Zhang Zh.,4
Bublik A.,4
Shapovalov D.,3
Shang J.,3
Rinderknech A.,3
Sonego L.,3
Raonic M.,3
Fognini F.,3
Rune H.,3
Popyrin A.,3
Duckworth J.,3
Opelka R.,3
Hijikata R.,3
Jubb P.,3
Ruusuvuori E.,3
Tiafoe F.,3
Mcdonald M.,3
Cobolli F.,3
Nishioka Y.,3
Safiullin R.,2
Pouille L.,2
Halys Q.,2
Brouwer G.,2
Comesana F.,2
Seyboth Wild T.,2
Bolt A.,2
Koepfer D.,2
Mensik J.,2
Kovacevic A.,2
Tsitsipas S.,2
Norrie C.,2
Darderi L.,2
Walton A.,2
Altmaier D.,1
Muller A.,1
Hussey G.,1
Munar J.,1
Medjedovic H.,1
Nardi L.,1
Arnaldi M.,1
Khachanov K.,1
Machac T.,1
Kokkinakis T.,1
Quinn E.,1
Marozsan F.,1
Mannarino A.,1
Paire B.,1
Wawrinka S.,1
Harris L.,1
Ruud C.,1
Spizzirri E.,1
Virtanen O.,1
Carballes Baena R.,1
Cazaux A.,1
Van De Zandschulp B.,1
Coric B.,1
Cressy M.,1
Bergs Z.,1
Etcheverry T.,1
Fearnley J.,1
Murray A.,1
Hanfmann Y.,1
Shevchenko A.,1
Squire H.,0
Nava E.,0
Uchiyama Y.,0
Ugo Carabelli C.,0
Neumayer L.,0
Van Assche L.,0
Zeppieri G.,0
Navone M.,0
Varillas J.P.,0
Nishikori K.,0
Rublev A.,0
Napolitano S.,0
Vavassori A.,0
Nagal S.,0
Nadal R.,0
Watanuki Y.,0
Wolf J.J.,0
Rodionov J.,0
Rocha H.,0
Zhou Y.,0
Svajda Z.,0
Riedi L.,0
Yevseyev D.,0
Stricker D.,0
Ramos-Vinolas A.,0
Skatov T.,0
Wu Y.,0
Zapata Miralles B.,0
Zhukayev B.,0
Tseng C. H.,0
Passaro F.,0
Wong C.,0
Schoolkate T.,0
O Connell C.,0
Tien L.,0
Tirante T.A.,0
Trungelliti M.,0
Thiem D.,0
Ajdukovic D.,0
Moutet C.,0
Diaz Acosta F.,0
Coria F.,0
Damm M.,0
Daniel T.,0
Davidovich Fokina A.,0
De Jong J.,0
Dellien H.,0
Diallo G.,0
Djere L.,0
Moro Canas A.,0
Dodig M.,0
Engel J.,0
Evans D.,0
Fonseca J.,0
Fucsovics M.,0
Galan D.E.,0
Garin C.,0
Cilic M.,0
Choinski J.,0
Cerundolo J.M.,0
Cerundolo F.,0
Atmane T.,0
Auger-Aliassime F.,0
Baez S.,0
Bagnis F.,0
Barrere G.,0
Barrios M.,0
Bellucci M.,0
Blanchet U.,0
Bonzi B.,0
Borges N.,0
Broady L.,0
Bu Y.,0
Burruchaga R.,0
Cachin P.,0
Carreno Busta P.,0
Gasquet R.,0
Gaston H.,0
Gigante M.,0
Kukushkin M.,0
Kypson P.,0
Albot R.,0
Landaluce M.,0
Lehecka J.,0
Lestienne C.,0
Llamas Ruiz P.,0
Marterer M.,0
Martinez P.,0
Mayot H.,0
Meligeni Alves F.,0
Misolic F.,0
Mmoh M.,0
Molleker R.,0
Monteiro T.,0
Moreno De Alboran N.,0
Kwon S.W.,0
Kudla D.,0
Goffin D.,0
Kubler J.,0
Gomez F.,0
Grenier H.,0
Hardt N.,0
Heide G.,0
Herbert P.H.,0
Hong S.,0
Huesler M.A.,0
Jarry N.,0
Jorda Sanchis D.,0
Kachmazov A.,0
Karatsev A.,0
Klein L.,0
Kotov P.,0
Kovalik J.,0
Krueger M.,0
Lajovic D.,0
