Winner,Hard
Zverev A.,5
Humbert U.,5
Rune H.,4
Khachanov K.,4
De Minaur A.,3
Tsitsipas S.,3
Thompson J.,3
Rinderknech A.,2
Popyrin A.,2
Fils A.,2
Draper J.,2
Dimitrov G.,2
Mannarino A.,2
Cerundolo F.,2
Alcaraz C.,1
Griekspoor T.,1
Shelton B.,1
Bergs Z.,1
Bublik A.,1
Kecmanovic M.,1
Jarry N.,1
Struff J.L.,1
Cazaux A.,1
Tabilo A.,1
Giron M.,1
Michelsen A.,1
Etcheverry T.,1
Mpetshi G.,1
Ruud C.,0
Ofner S.,0
Nishikori K.,0
Paul T.,0
Navone M.,0
Nakashima B.,0
Rublev A.,0
Baez S.,0
Sonego L.,0
Shapovalov D.,0
Shevchenko A.,0
Sinner J.,0
Munar J.,0
Squire H.,0
Auger-Aliassime F.,0
Tiafoe F.,0
Arnaldi M.,0
Wawrinka S.,0
Zeppieri G.,0
Zhang Zh.,0
Musetti L.,0
De Jong J.,0
Muller A.,0
Moutet C.,0
Darderi L.,0
Djokovic N.,0
Cobolli F.,0
Fognini F.,0
Fritz T.,0
Gasquet R.,0
Goffin D.,0
Hurkacz H.,0
Carballes Baena R.,0
Kokkinakis T.,0
Korda S.,0
Kotov P.,0
Kovalik J.,0
Kwon S.W.,0
Lajovic D.,0
Machac T.,0
Altmaier D.,0
Marozsan F.,0
Marterer M.,0
Martinez P.,0
Medvedev D.,0
Davidovich Fokina A.,0
Monfils G.,0
Misolic F.,0
