Winner,Hard
Auger-Aliassime F.,16
Alcaraz C.,15
Davidovich Fokina A.,13
Draper J.,13
De Minaur A.,12
Medvedev D.,12
Paul T.,12
Lehecka J.,12
Kecmanovic M.,11
Shapovalov D.,11
Bergs Z.,11
Griekspoor T.,11
Monfils G.,11
Giron M.,10
Michelsen A.,10
Borges N.,10
Rune H.,10
Shelton B.,10
Tsitsipas S.,9
Rublev A.,9
Humbert U.,9
Machac T.,9
Sonego L.,8
Mensik J.,8
Opelka R.,8
Nakashima B.,8
Marozsan F.,7
Sinner J.,7
Djokovic N.,7
Norrie C.,7
Fils A.,7
Zverev A.,7
Arnaldi M.,7
Tien L.,6
Ruud C.,6
Berrettini M.,6
Altmaier D.,6
Munar J.,6
Nishikori K.,6
Fritz T.,6
Medjedovic H.,5
Hurkacz H.,5
Mpetshi G.,5
Muller A.,5
Nishioka Y.,5
Halys Q.,5
Cerundolo F.,5
Tiafoe F.,5
Dimitrov G.,5
Martinez P.,4
Korda S.,4
Bu Y.,4
Carballes Baena R.,4
Musetti L.,4
Nardi L.,4
O Connell C.,4
Bonzi B.,4
Bellucci M.,4
Khachanov K.,4
Kovacevic A.,4
Hijikata R.,4
Vukic A.,3
Shang J.,3
Goffin D.,3
Moutet C.,3
Diallo G.,3
Cazaux A.,3
Van De Zandschulp B.,3
Watanuki Y.,3
Struff J.L.,3
Basavareddy N.,3
Diaz Acosta F.,3
Thompson J.,3
Kokkinakis T.,3
De Jong J.,3
Popyrin A.,2
Pacheco Mendez R.,2
Boyer T.,2
Quinn E.,2
Fearnley J.,2
Brooksby J.,2
Gaston H.,2
Fonseca J.,2
Jarry N.,2
Rinderknech A.,2
Etcheverry T.,2
Basilashvili N.,2
Navone M.,2
Cilic M.,2
Lajovic D.,2
Bublik A.,2
Mmoh M.,2
Zhang Zh.,2
McDonald M.,2
Walton A.,1
Seyboth Wild T.,1
Bautista Agut R.,1
Krueger M.,1
Van Assche L.,1
Gigante M.,1
Smith C.,1
Schoolkate T.,1
Tabilo A.,1
Koepfer D.,1
Duckworth J.,1
Virtanen O.,1
Herbert P.,1
Dzumhur D.,1
Safiullin R.,1
Gasquet R.,1
Lestienne C.,1
Eubanks C.,1
Vavassori A.,1
Habib H.,1
Faria J.,1
Passaro F.,1
Mccabe J.,1
Guinard M.,1
Carreno Busta P.,1
Grenier H.,1
Garin C.,1
Tu L.,1
Ugo Carabelli C.,0
Djere L.,0
Tseng C.H.,0
Baez S.,0
Shevchenko A.,0
Schwartzman D.,0
Cerundolo J.M.,0
Comesana F.,0
Coria F.,0
Heide G.,0
Hanfmann Y.,0
Darderi L.,0
Monteiro T.,0
