Winner,Hard
Dimitrov G.,12
De Minaur A.,12
Zverev A.,10
Humbert U.,10
Sinner J.,10
Rune H.,10
Khachanov K.,10
Shapovalov D.,8
Bautista Agut R.,7
Lehecka J.,7
Draper J.,7
Griekspoor T.,7
Auger-Aliassime F.,6
Tsitsipas S.,6
Rublev A.,6
Mpetshi G.,6
Bublik A.,6
Rinderknech A.,5
Fils A.,5
Shelton B.,5
Shevchenko A.,5
Gaston H.,5
Giron M.,5
Bonzi B.,5
Bergs Z.,5
Kecmanovic M.,4
Musetti L.,4
Norrie C.,4
Paul T.,4
Wawrinka S.,4
Medjedovic H.,4
Machac T.,4
Djere L.,4
Michelsen A.,4
Goffin D.,3
Moutet C.,3
Hurkacz H.,3
Halys Q.,3
Etcheverry T.,3
Ruud C.,3
Cobolli F.,3
Ruusuvuori E.,3
Thompson J.,3
Stricker D.,3
Berrettini M.,3
Cerundolo F.,3
Coric B.,3
Davidovich Fokina A.,3
Struff J.L.,3
Altmaier D.,2
Klein L.,2
Zhang Zh.,2
Monfils G.,2
Mayot H.,2
Mensik J.,2
Martinez P.,2
Jarry N.,2
Marozsan F.,2
Mannarino A.,2
Mmoh M.,2
Alcaraz C.,2
Muller A.,2
Tabilo A.,2
Fucsovics M.,2
Sonego L.,2
Raonic M.,2
Cazaux A.,2
Popyrin A.,2
O Connell C.,2
Bu Y.,2
Fritz T.,2
Safiullin R.,1
Seyboth Wild T.,1
Paire B.,1
Medvedev D.,1
Van De Zandschulp B.,1
Navone M.,1
Tiafoe F.,1
Nakashima B.,1
Lestienne C.,1
Llamas Ruiz P.,1
Lajovic D.,1
Herbert P.H.,1
Gasquet R.,1
Darderi L.,1
Cilic M.,1
Carballes Baena R.,1
Barrere G.,1
Fearnley J.,1
Kovacevic A.,1
Korda S.,1
De Jong J.,0
Comesana F.,0
Coria F.,0
Daniel T.,0
Shang J.,0
Zeppieri G.,0
Arnaldi M.,0
Walton A.,0
Skatov T.,0
Djokovic N.,0
Dodig M.,0
Duckworth J.,0
Rodionov J.,0
Rocha H.,0
Eubanks C.,0
Diaz Acosta F.,0
Yevseyev D.,0
Vukic A.,0
Tseng C. H.,0
Virtanen O.,0
Varillas J.P.,0
Baez S.,0
Van Assche L.,0
Ugo Carabelli C.,0
Bagnis F.,0
Trungelliti M.,0
Squire H.,0
Tirante T.A.,0
Atmane T.,0
Blanchet U.,0
Riedi L.,0
Brouwer G.,0
Cachin P.,0
Borges N.,0
Pouille L.,0
Purcell M.,0
Hussey G.,0
Heide G.,0
Moro Canas A.,0
Moreno De Alboran N.,0
Monteiro T.,0
Molleker R.,0
Huesler M.A.,0
Misolic F.,0
Karatsev A.,0
Albot R.,0
Koepfer D.,0
Kokkinakis T.,0
Mcdonald M.,0
Kotov P.,0
Marterer M.,0
Kovalik J.,0
Kwon S.W.,0
Harris L.,0
Harris B.,0
Munar J.,0
Hardt N.,0
Fognini F.,0
Fonseca J.,0
Passaro F.,0
Galan D.E.,0
Ofner S.,0
Garin C.,0
Nishioka Y.,0
Nishikori K.,0
Neumayer L.,0
Gigante M.,0
Nardi L.,0
Napolitano S.,0
Hanfmann Y.,0
Nagal S.,0
Nadal R.,0
Ajdukovic D.,0
