Winner,Clay
Darderi L.,5
Baez S.,4
Shelton B.,4
Moutet C.,3
Tabilo A.,3
Martinez P.,3
Tiafoe F.,3
Thompson J.,2
Munar J.,2
Nakashima B.,2
Etcheverry T.,2
Giron M.,2
Mmoh M.,2
Jarry N.,1
Duckworth J.,1
Seyboth Wild T.,1
Galan D.E.,1
Diaz Acosta F.,1
Purcell M.,1
Kovacevic A.,1
Hijikata R.,1
Fils A.,1
Ramos-Vinolas A.,1
Varillas J.P.,1
Wolf J.J.,1
Coria F.,1
Cerundolo J.M.,1
Barrios M.,1
Tirante T.A.,1
Bergs Z.,1
Opelka R.,0
Monfils G.,0
Pouille L.,0
Moreno De Alboran N.,0
Popyrin A.,0
Paul T.,0
Paire B.,0
Musetti L.,0
Ofner S.,0
Quinn E.,0
Mpetshi G.,0
Muller A.,0
O Connell C.,0
Norrie C.,0
Murray A.,0
Nishioka Y.,0
Nishikori K.,0
Navone M.,0
Nardi L.,0
Albot R.,0
Raonic M.,0
Rinderknech A.,0
Zhang Zh.,0
Walton A.,0
Vukic A.,0
Virtanen O.,0
Vavassori A.,0
Van De Zandschulp B.,0
Van Assche L.,0
Tsitsipas S.,0
Tien L.,0
Svajda Z.,0
Struff J.L.,0
Stricker D.,0
Spizzirri E.,0
Sonego L.,0
Sinner J.,0
Shevchenko A.,0
Shapovalov D.,0
Shang J.,0
Schoolkate T.,0
Safiullin R.,0
Mensik J.,0
Ruusuvuori E.,0
Ruud C.,0
Rune H.,0
Rublev A.,0
Michelsen A.,0
Lehecka J.,0
Medvedev D.,0
Comesana F.,0
Evans D.,0
Eubanks C.,0
Draper J.,0
Djokovic N.,0
Djere L.,0
Dimitrov G.,0
Diallo G.,0
De Minaur A.,0
Davidovich Fokina A.,0
Daniel T.,0
Damm M.,0
Cressy M.,0
Coric B.,0
Cobolli F.,0
Mcdonald M.,0
Cerundolo F.,0
Cazaux A.,0
Carreno Busta P.,0
Carballes Baena R.,0
Bublik A.,0
Borges N.,0
Bolt A.,0
Berrettini M.,0
Bellucci M.,0
Bautista Agut R.,0
Auger-Aliassime F.,0
Arnaldi M.,0
Altmaier D.,0
Fognini F.,0
Fritz T.,0
Fucsovics M.,0
Garin C.,0
Mayot H.,0
Marozsan F.,0
Mannarino A.,0
Machac T.,0
Lestienne C.,0
Alcaraz C.,0
Landaluce M.,0
Lajovic D.,0
Kypson P.,0
Kwon S.W.,0
Kudla D.,0
Krueger M.,0
Kotov P.,0
Korda S.,0
Kokkinakis T.,0
Koepfer D.,0
Klein L.,0
Khachanov K.,0
Kecmanovic M.,0
Karatsev A.,0
Hurkacz H.,0
Humbert U.,0
Hong S.,0
Harris B.,0
Hanfmann Y.,0
Griekspoor T.,0
Goffin D.,0
Zverev A.,0
