Winner,Clay
Alcaraz C.,25
Ruud C.,22
Zverev A.,20
Rublev A.,19
Baez S.,19
Jarry N.,19
Etcheverry T.,19
Cerundolo F.,18
Rune H.,18
Tsitsipas S.,17
Musetti L.,17
Zapata Miralles B.,16
Norrie C.,16
Djere L.,16
Hanfmann Y.,15
Lajovic D.,15
Cachin P.,14
Carballes Baena R.,13
Munar J.,13
Thiem D.,13
Djokovic N.,12
Garin C.,11
Popyrin A.,11
Fritz T.,11
Ramos-Vinolas A.,11
Medvedev D.,10
Altmaier D.,10
Khachanov K.,10
Cecchinato M.,10
Dimitrov G.,10
Zhang Zh.,10
Arnaldi M.,9
Fils A.,9
Coric B.,9
Davidovich Fokina A.,9
Struff J.L.,9
Sonego L.,9
Kecmanovic M.,9
Wawrinka S.,9
Molcan A.,9
O Connell C.,8
Sinner J.,8
Tiafoe F.,8
Coria F.,7
Giron M.,7
Karatsev A.,7
Varillas J.P.,6
Lehecka J.,6
Monteiro T.,6
Fognini F.,6
Van Assche L.,6
Shevchenko A.,6
Ofner S.,5
Kubler J.,5
Rinderknech A.,5
Nishioka Y.,5
Kotov P.,5
Wolf J.J.,5
Varillas J. P.,5
De Minaur A.,5
Dellien H.,5
Hurkacz H.,5
Evans D.,5
Ruusuvuori E.,5
Barrere G.,5
Muller A.,5
Pella G.,4
Halys Q.,4
Marozsan F.,4
Safiullin R.,4
Galan D.E.,4
Fucsovics M.,4
Bautista Agut R.,4
Schwartzman D.,4
Vavassori A.,4
Van De Zandschulp B.,4
Goffin D.,3
Nakashima B.,3
Wu Y.,3
Borges N.,3
Brouwer G.,3
Ivashka I.,3
Bublik A.,3
Cerundolo J.M.,3
Sousa J.,3
Cobolli F.,3
Kovalik J.,3
Shapovalov D.,3
Draper J.,3
Seyboth Wild T.,3
Kokkinakis T.,3
Griekspoor T.,3
Medjedovic H.,3
Machac T.,2
Berrettini M.,2
Misolic F.,2
Olivieri G.,2
Otte O.,2
Passaro F.,2
Paul T.,2
Prizmic D.,2
Purcell M.,2
Rodionov J.,2
Shelton B.,2
Kuzmanov D.,2
Albot R.,2
Bergs Z.,2
Daniel T.,2
Bonzi B.,2
Grenier H.,2
Barrios M.,2
Gasquet R.,2
Dzumhur D.,2
Gaston H.,2
Eubanks C.,1
Andreozzi G.,1
Gakhov I.,1
Kudla D.,1
Ritschard A.,1
Pouille L.,1
Piros Z.,1
Auger-Aliassime F.,1
Nardi L.,1
Gomez E.,1
Shelbayh A.,1
Bagnis F.,1
Diaz Acosta F.,1
Delbonis F.,1
Darderi L.,1
Stricker D.,1
Tirante T.A.,1
Ugo Carabelli C.,1
Watanuki Y.,1
Borg L.,1
Ymer E.,1
Ymer M.,1
Zeppieri G.,1
Bonadio R.,1
Huesler M.A.,1
Marterer M.,1
Martinez P.,1
Korda S.,1
Monfils G.,1
Johnson S.,1
Moutet C.,1
Llamas Ruiz P.,1
Mannarino A.,1
Humbert U.,1
Coppejans K.,0
Tu L.,0
Anderson K.,0
Tseng C.H.,0
Sock J.,0
Lopez F.,0
Thompson J.,0
Cressy M.,0
Couacaud E.,0
Tabilo A.,0
Valkusz M.,0
Svrcina D.,0
Svajda Z.,0
Koepfer D.,0
Sweeny D.,0
Cilic M.,0
Shimabukuro S.,0
Choinski J.,0
Zhukayev B.,0
Kumar O.,0
Krueger M.,0
Kwon S.W.,0
Lajal M.,0
Krajinovic F.,0
Kovacevic A.,0
Wu T.L.,0
Broady L.,0
Brooksby J.,0
Lestienne C.,0
Vukic A.,0
Vesely J.,0
Carreno Busta P.,0
Berrettini J.,0
Chardy J.,0
Van Rijthoven T.,0
Bolt A.,0
Murray A.,0
Diallo G.,0
Herbert P.H.,0
Isner J.,0
Peniston R.,0
Haase R.,0
Pecotic M.,0
Basilashvili N.,0
Harris B.,0
Harris L.,0
Hijikata R.,0
Mochizuki S.,0
Holt B.,0
Hsu Y.,0
Nishikori K.,0
Nava E.,0
Mpetshi G.,0
Ilkel C.,0
Nadal R.,0
Polmans M.,0
Mmoh M.,0
Mayot H.,0
Meligeni Alves F.,0
Mcdonald M.,0
Shang J.,0
Droguet T.,0
Sekulic P.,0
Duckworth J.,0
Kachmazov A.,0
Jung J.,0
Mensik J.,0
Gojo B.,0
Atmane T.,0
Michelsen A.,0
Millman J.,0
Riedi L.,0
Raonic M.,0
Kukushkin M.,0
Quinn E.,0
Gerasimov E.,0
