Winner,Grass
Federer R.,10
Kohlschreiber P.,9
Ferrer D.,9
Malisse X.,9
Cilic M.,8
Youzhny M.,7
Roddick A.,7
Querrey S.,7
Harrison R.,7
Istomin D.,6
Murray A.,6
Tsonga J.W.,6
Djokovic N.,5
Dimitrov G.,5
Isner J.,5
Mayer F.,5
Haas T.,5
Petzschner P.,5
Nalbandian D.,5
Paire B.,5
Raonic M.,4
Stepanek R.,4
Darcis S.,4
Troicki V.,4
Roger-Vasselin E.,4
Rosol L.,4
Baghdatis M.,4
Lu Y.H.,4
Mahut N.,4
Nishikori K.,4
Hewitt L.,4
Gasquet R.,3
Anderson K.,3
Baker B.,3
Dodig I.,3
Ram R.,3
Del Potro J.M.,3
Becker B.,3
Kubot L.,3
Falla A.,3
Benneteau J.,3
Ito T.,3
Tipsarevic J.,3
Fish M.,3
Fognini F.,3
Seppi A.,3
Lacko L.,3
Muller G.,3
Sijsling I.,2
Goffin D.,2
Russell M.,2
Rochus O.,2
Janowicz J.,2
Soeda G.,2
Sela D.,2
Almagro N.,2
Van Der Merwe I.,2
Karlovic I.,2
Monaco J.,2
Nadal R.,2
Baker J.,2
Melzer J.,2
Matosevic M.,2
Bemelmans R.,2
Verdasco F.,2
Sweeting R.,2
Bolelli S.,2
Levine J.,2
Chardy J.,2
Lorenzi P.,1
Lopez F.,1
Mayer L.,1
Nieminen J.,1
Pavic M.,1
Phau B.,1
Klizan M.,1
Jaziri M.,1
Serra F.,1
Cipolla F.,1
Ebden M.,1
Cervantes I.,1
Berlocq C.,1
Gulbis E.,1
Berdych T.,1
De Schepper K.,1
Stebe C.M.,1
Stakhovsky S.,1
Dolgopolov O.,1
Ward J.,1
Bogomolov A.,1
Garcia-Lopez G.,1
Granollers M.,1
Sock J.,1
Smyczek T.,1
Simon G.,1
Rufin G.,1
Andreev I.,1
Zhang Z.,1
Zemlja G.,1
Odesnik W.,0
Veic A.,0
Olivetti A.,0
Zeballos H.,0
Novikov D.,0
Young D.,0
Volandri F.,0
Wang J.,0
Ungur A.,0
Yani M.,0
Navarro-Pastor I.,0
Wawrinka S.,0
Rosenholm P.,0
Oswald P.,0
Ouahab L.,0
Robredo T.,0
Schwank E.,0
Riba P.,0
Reynolds B.,0
Reix C.,0
Reister J.,0
Sousa J.,0
Souza J.,0
Ramos A.,0
Ramirez-Hidalgo R.,0
Starace P.,0
Pospisil V.,0
Sugita Y.,0
Thiem D.,0
Tomic B.,0
Trungelliti M.,0
Tursunov D.,0
Munoz-De La Nava D.,0
Kukushkin M.,0
Moriya H.,0
Cervenak P.,0
Chiudinelli M.,0
Clement A.,0
Copil M.,0
Dancevic F.,0
Davydenko N.,0
Del Bonis F.,0
Delbonis F.,0
Devilder N.,0
Duckworth J.,0
Dutra Silva R.,0
Farah R.,0
Ferrero J.C.,0
Fischer M.,0
Gabashvili T.,0
Giannessi A.,0
Chela J.I.,0
Capdeville P.,0
Montanes A.,0
Bubka S.,0
Andujar P.,0
Bachinger M.,0
Bagnis F.,0
Balazs A.,0
Bautista R.,0
Beck A.,0
Beck K.,0
Bedene A.,0
Bellucci T.,0
Berankis R.,0
Berrer M.,0
Bhambri Y.,0
Blake J.,0
Brands D.,0
Brown D.,0
Gil F.,0
Gimeno-Traver D.,0
Ginepri R.,0
Giraldo S.,0
Kunitsyn I.,0
Kutrovsky D.,0
Kuznetsov An.,0
Lajovic D.,0
Ljubicic I.,0
Llodra M.,0
Machado R.,0
Mannarino A.,0
Marti J.,0
Mathieu P.H.,0
Mcclune M.,0
Mello R.,0
Millot V.,0
Minar I.,0
Monfils G.,0
Kudla D.,0
Kravchuk K.,0
Krajinovic F.,0
Hanescu V.,0
Golubev A.,0
Gonzalez F.,0
Gremelmayr D.,0
Gutierrez-Ferrol S.,0
Haase R.,0
Hajek J.,0
Hernych J.,0
Korolev E.,0
Huta Galung J.,0
Johnson S.,0
Junqueira D.,0
Kamke T.,0
Kavcic B.,0
Klahn B.,0
Zopp J.,0
